id,date,n_trials,type,day_in_type
AH,20250628,10,,
AH,20250629,8,,
AH,20250630,1,,
AI,20250708,6,H,1
AI,20250709,8,H,2
AI,20250710,8,H,3
AI,20250711,8,L,1
AI,20250712,8,L,2
AI,20250713,8,L,3
AI,20250714,8,L,4
AI,20250715,8,L,5
AI,20250716,10,T,1
AI,20250717,8,,
AI,20250718,8,,
AI,20250719,8,,
AI,20250720,8,,
AI,20250721,1,,
AI,20250722,1,,
AI,20250723,1,,
AI,20250725,1,,
AI,20250726,8,,
AI,20250727,2,,
AI,20250731,1,,
AJ,20250708,6,H,1
AJ,20250709,8,H,2
AJ,20250710,8,H,3
AJ,20250711,8,L,1
AJ,20250712,8,L,2
AJ,20250713,8,L,3
AJ,20250714,8,L,4
AJ,20250715,8,L,5
AJ,20250716,9,T,1
AJ,20250717,8,,
AJ,20250718,8,,
AJ,20250719,8,,
AJ,20250720,8,,
AJ,20250721,1,,
AJ,20250722,1,,
AJ,20250723,1,,
AJ,20250725,1,,
AJ,20250726,8,,
AJ,20250727,1,,
AJ,20250731,2,,
AL,20250708,6,H,1
AL,20250709,8,H,2
AL,20250710,8,H,3
AL,20250711,8,L,1
AL,20250712,8,L,2
AL,20250713,8,L,3
AL,20250714,8,L,4
AL,20250715,8,L,5
AL,20250716,9,T,1
AL,20250717,8,,
AL,20250718,8,,
AL,20250719,8,,
AL,20250720,8,,
AL,20250721,2,,
AL,20250725,1,H,1
AL,20250726,8,,
AL,20250727,2,,
AL,20250728,1,,
AL,20250729,1,,
AL,20250730,1,,
AL,20250731,2,,
AM,20250724,5,,
AM,20250725,6,H,1
AM,20250726,6,H,2
AM,20250727,8,H,3
AM,20250728,8,L,1
AM,20250729,8,L,2
AM,20250730,8,L,3
AM,20250731,8,L,4
AM,20250801,8,L,5
AM,20250802,1,T,1
AM,20250804,8,,
AM,20250805,2,,
AM,20250809,1,,
AM,20250810,8,,
AM,20250811,8,,
AM,20250812,1,,
AM,20250813,1,,
AM,20250814,2,,
AM,20250815,2,,
AM,20250816,2,,
AM,20250817,8,,
AM,20250818,16,,
AM,20250819,8,,
AM,20250820,8,,
AM,20250821,8,,
AM,20250822,9,,
AM,20250823,3,,
AN,20250725,6,H,1
AN,20250726,6,H,2
AN,20250727,8,H,3
AN,20250728,8,L,1
AN,20250729,8,L,2
AN,20250730,8,L,3
AN,20250731,8,L,4
AN,20250801,8,L,5
AN,20250802,2,T,1
AN,20250804,8,,
AN,20250805,1,,
AN,20250809,2,,
AN,20250810,8,,
AN,20250811,8,,
AN,20250812,1,,
AN,20250813,1,,
AN,20250814,1,,
AN,20250815,1,,
AN,20250816,2,,
AN,20250817,8,,
AN,20250818,8,,
AN,20250819,8,,
AN,20250820,8,,
AN,20250821,8,,
AN,20250822,9,,
AN,20250823,1,,
AO,20250725,6,H,1
AO,20250726,6,H,2
AO,20250727,8,H,3
AO,20250728,8,L,1
AO,20250729,8,L,2
AO,20250730,8,L,3
AO,20250731,8,L,4
AO,20250801,8,L,5
AO,20250802,1,T,1
AO,20250804,8,,
AO,20250805,1,,
AO,20250806,1,,
AO,20250807,1,,
AO,20250808,1,,
AO,20250809,2,,
AO,20250810,8,,
AO,20250811,8,,
AO,20250812,1,,
AO,20250816,3,,
AO,20250817,8,,
AO,20250818,8,,
AO,20250819,8,,
AO,20250820,8,,
AO,20250821,8,,
AO,20250822,9,,
AO,20250823,2,,
AP,20250806,6,H,1
AP,20250807,8,H,2
AP,20250808,8,H,3
AP,20250809,8,L,1
AP,20250810,8,L,2
AP,20250811,8,L,3
AP,20250812,8,L,4
AP,20250813,8,L,5
AP,20250814,9,L,6
AP,20250815,1,T,1
AQ,20250806,6,H,1
AQ,20250807,8,H,2
AQ,20250808,8,H,3
AQ,20250809,8,L,1
AQ,20250810,8,L,2
AQ,20250811,8,L,3
AQ,20250812,8,L,4
AQ,20250813,8,L,5
AQ,20250814,8,L,6
AQ,20250815,2,T,1
AR,20250806,6,H,1
AR,20250807,8,H,2
AR,20250808,8,H,3
AR,20250809,8,L,1
AR,20250810,8,L,2
AR,20250811,8,L,3
AR,20250812,8,L,4
AR,20250813,8,L,5
AR,20250814,9,L,6
AR,20250815,2,T,1
AS,20250806,6,H,1
AS,20250807,8,H,2
AS,20250808,8,H,3
AS,20250809,8,L,1
AS,20250810,8,L,2
AS,20250811,8,L,3
AS,20250812,8,L,4
AS,20250813,8,L,5
AS,20250814,8,L,6
AS,20250815,2,T,1
AT,20250806,6,H,1
AT,20250807,8,H,2
AT,20250808,8,H,3
AT,20250809,8,L,1
AT,20250810,8,L,2
AT,20250811,8,L,3
AT,20250812,9,L,4
AT,20250813,9,L,5
AT,20250814,1,L,6
AU,20250806,6,H,1
AU,20250807,8,H,2
AU,20250808,8,H,3
AU,20250809,8,L,1
AU,20250810,8,L,2
AU,20250811,8,L,3
AU,20250812,8,L,4
AU,20250813,9,L,5
AU,20250814,1,L,6
AV,20250806,6,H,1
AV,20250807,8,H,2
AV,20250808,8,H,3
AV,20250809,8,L,1
AV,20250810,8,L,2
AV,20250811,8,L,3
AV,20250812,9,L,4
AV,20250813,9,L,5
AV,20250814,2,L,6
B,20240308,1,,
B,20240311,2,,
B,20240312,2,,
B,20240313,3,,
B,20240315,1,,
B,20240317,4,,
B,20240319,6,,
B,20240320,1,,
B,20240516,2,,
B,20240517,8,,
B,20240518,12,,
B,20240520,12,,
B,20240522,12,,
B,20240523,12,,
B,20240524,1,,
B,20240930,6,,
B,20241001,6,,
B,20241002,8,,
B,20241205,6,H,1
B,20241206,6,,
B,20241207,8,H,3
B,20241208,8,L,1
B,20241209,8,L,2
B,20241210,8,L,3
B,20241211,8,L,4
B,20241212,8,L,5
B,20241213,1,T,1
B,20241214,1,,
B,20241215,1,,
C,20240308,1,,
C,20240311,2,,
C,20240312,2,,
C,20240313,3,,
C,20240315,1,,
C,20240516,2,,
C,20240517,8,,
C,20240518,12,,
C,20240520,12,,
C,20240522,12,,
C,20240523,12,,
C,20240524,1,,
C,20240930,6,,
C,20241001,6,,
C,20241002,8,,
C,20241003,8,,
C,20241004,8,,
C,20241005,8,,
C,20241006,8,,
C,20241007,8,,
C,20241008,1,,
D,20240308,1,,
D,20240311,2,,
D,20240312,2,,
D,20240313,3,,
D,20240315,1,,
D,20240516,2,,
D,20240930,6,,
D,20241001,6,,
D,20241002,8,,
D,20241003,8,,
D,20241004,8,,
D,20241005,8,,
D,20241006,8,,
D,20241007,8,,
D,20241008,1,,
E,20240308,1,,
E,20240311,2,,
E,20240312,2,,
E,20240313,3,,
E,20240315,1,,
E,20241213,6,,
E,20241214,6,,
E,20241215,8,,
E,20241216,8,,
E,20241217,8,,
E,20241218,8,,
E,20241219,8,,
E,20241220,8,,
E,20241221,1,,
E,20241222,1,,
E,20241223,1,,
E,20241224,1,,
E,20250116,1,,
EE,20250112,6,,
EE,20250113,6,,
EE,20250115,8,,
EE,20250116,8,,
EE,20250117,8,,
EE,20250118,8,,
EE,20250119,8,,
EE,20250120,8,,
EE,20250121,1,T,1
EE,20250122,1,,
EE,20250123,1,,
EE,20250124,1,,
EE,20250125,1,,
EE,20250203,8,,
EE,20250204,1,,
EE,20250208,1,,
EF,20250112,6,,
EF,20250113,6,,
EF,20250115,8,,
EF,20250116,8,,
EF,20250117,8,,
EF,20250118,8,,
EF,20250119,8,,
EF,20250120,8,,
EF,20250121,1,T,1
EF,20250125,1,,
EF,20250203,8,,
EF,20250204,1,,
EF,20250205,1,,
EF,20250206,1,,
EF,20250207,1,,
EF,20250208,1,,
F,20240308,1,,
F,20240311,2,,
F,20240312,2,,
F,20240313,3,,
F,20240315,1,,
F,20241021,6,,
F,20241213,6,,
F,20241214,6,,
F,20241215,8,,
F,20241216,8,,
F,20241217,8,,
F,20241218,8,,
F,20241219,8,,
F,20241220,8,,
F,20241221,1,,
F,20241222,1,,
F,20241223,1,,
F,20241224,1,,
F,20250116,1,,
G,20240308,1,,
G,20240311,2,,
G,20240312,2,,
G,20240313,3,,
G,20240315,1,,
G,20240317,4,,
G,20240319,6,,
G,20240320,1,,
G,20241213,6,,
G,20241214,6,,
G,20241215,8,,
G,20241216,8,,
G,20241217,8,,
G,20241218,8,,
G,20241219,8,,
G,20241220,8,,
G,20241221,1,,
G,20241222,1,,
G,20241223,1,,
G,20241224,1,,
G,20250116,1,,
H,20240308,1,,
H,20240311,1,,
H,20240312,2,,
H,20240313,2,,
H,20240315,1,,
H,20240317,4,,
H,20240319,6,,
H,20240320,1,,
H,20241127,6,,
H,20241128,6,,
H,20241129,8,,
H,20241130,8,,
H,20241201,8,,
H,20241202,8,,
H,20241203,8,,
H,20241204,8,,
H,20241205,1,,
H,20241206,1,,
H,20241207,1,H,3
H,20241208,1,,
HA,20250122,6,,
HA,20250123,6,,
HA,20250124,8,,
HA,20250125,8,,
HA,20250126,8,,
HA,20250127,8,,
HA,20250128,8,,
HA,20250129,8,,
HA,20250130,1,,
HA,20250203,1,,
HB,20250122,6,,
HB,20250123,6,,
HB,20250124,8,,
HB,20250125,8,,
HB,20250126,8,,
HB,20250127,8,,
HB,20250128,8,,
HB,20250129,8,,
HB,20250130,1,,
HB,20250131,1,,
HB,20250201,1,,
HB,20250202,1,,
HB,20250203,1,,
I,20241127,6,,
I,20241128,6,,
I,20241129,8,,
I,20241130,8,,
I,20241201,8,,
I,20241202,8,,
I,20241203,8,,
I,20241204,8,,
I,20241205,1,,
I,20241206,1,,
I,20241207,1,,
I,20241208,1,,
J,20241127,6,,
J,20241128,6,,
J,20241129,8,,
J,20241130,8,,
J,20241201,8,,
J,20241202,8,,
J,20241203,8,,
J,20241204,8,,
J,20241205,1,,
J,20241206,1,,
J,20241207,1,,
J,20241208,1,,
K,20241213,6,,
K,20241214,6,,
K,20241215,8,,
L,20241127,6,,
L,20241128,6,,
L,20241129,8,,
L,20241130,8,,
L,20241201,8,,
L,20241202,8,,
L,20241203,8,,
L,20241204,8,,
L,20241205,1,,
L,20241206,1,,
L,20241207,1,,
L,20241208,1,,
M,20241118,6,,
M,20241119,6,,
M,20241120,8,,
M,20241121,8,,
M,20241122,8,,
M,20241123,8,,
M,20241124,8,,
M,20241125,8,,
M,20241126,1,,
M,20241127,1,,
M,20241128,1,,
M,20241129,1,,
MA,20250122,6,,
MA,20250123,6,,
MA,20250124,8,,
MA,20250125,8,,
MA,20250126,8,,
MA,20250127,8,,
MA,20250128,8,,
MA,20250129,8,,
MA,20250130,1,,
MA,20250203,1,,
MB,20250122,6,,
MB,20250123,6,,
MB,20250124,8,,
MB,20250125,8,,
MB,20250126,8,,
MB,20250127,8,,
MB,20250128,8,,
MB,20250129,8,,
MB,20250130,1,,
MB,20250131,1,,
MB,20250201,1,,
MB,20250202,1,,
MB,20250203,1,,
N,20241118,6,,
N,20241119,6,,
N,20241120,8,,
N,20241121,8,,
N,20241122,8,,
N,20241123,8,,
N,20241124,8,,
N,20241125,8,,
N,20241126,1,,
N,20241127,1,,
N,20241128,1,,
N,20241129,1,,
O,20241118,6,,
O,20241119,6,,
O,20241120,8,,
O,20241121,8,,
O,20241122,8,,
O,20241123,8,,
O,20241124,8,,
O,20241125,8,,
O,20241126,1,,
O,20241127,1,,
O,20241128,1,,
O,20241129,1,,
P,20241118,6,,
P,20241119,6,,
P,20241120,8,,
P,20241121,8,,
P,20241122,8,,
P,20241123,8,,
P,20241124,8,,
P,20241125,8,,
P,20241126,1,,
P,20241127,1,,
P,20241128,1,,
P,20241129,1,,
Q,20241105,6,,
Q,20241106,6,,
Q,20241107,8,,
Q,20241108,8,,
Q,20241109,8,,
Q,20241110,8,,
Q,20241111,8,,
Q,20241112,8,,
Q,20241113,1,,
Q,20241114,1,,
Q,20241115,1,,
R,20241105,6,,
R,20241106,6,,
R,20241107,8,,
R,20241108,8,,
R,20241109,8,,
R,20241110,8,,
R,20241111,8,,
R,20241112,8,,
R,20241113,1,,
R,20241114,1,,
R,20241115,1,,
S,20241105,6,,
S,20241106,6,,
S,20241107,8,,
S,20241108,8,,
S,20241109,8,,
S,20241110,8,,
S,20241111,8,,
S,20241112,8,,
S,20241113,1,,
S,20241114,1,,
S,20241115,1,,
T,20241105,6,,
T,20241106,6,,
T,20241107,8,,
T,20241108,8,,
T,20241109,8,,
T,20241110,8,,
T,20241111,8,,
T,20241112,8,,
T,20241113,1,,
T,20241114,1,,
T,20241115,1,,
